"","time","BTC","ETH","XMR","ETC","ZEC","DASH","LTC","DOGE","NXT","BTCVOLFROM","BTCVOLTO","ETHVOLTO","ETHVOLFROM"
"1",1969-12-31 19:00:00,2678.34,244.09,42.69,19.73,214.96,190.19,0,0.001955,0.09404,65.23,174343.33,65509.28,267.02
"2",1969-12-31 19:00:00,2613.43,236.29,41.4,19.27,205.57,184.93,0,0.001934,0.08938,152.23,397721.02,404803.32,1697.53
"3",1969-12-31 19:00:00,2590.99,229.94,41.09,19.16,203.26,182.46,0,0.001943,0.08822,128.87,333926.09,292642.05,1257.29
"4",1969-12-31 19:00:00,2647.01,241.81,42.22,19.98,209.46,187.06,0,0.001959,0.09283,34.76,91605.47,134058.3,565.71
"5",1969-12-31 19:00:00,2687.6,243.4,42.84,20.35,217.96,191.89,0,0.002016,0.09522,31.58,83976.88,80699.73,337.44
"6",1969-12-31 19:00:00,2695.63,235.88,43,20.23,220.39,193.06,0,0.002022,0.09507,15.29,40884.76,134897.06,565.52
"7",1969-12-31 19:00:00,2711.41,237.55,43.44,20.37,217.29,195.17,0,0.002034,0.09612,7.13,19199.29,21277.5,90.3
"8",1969-12-31 19:00:00,2649.3,230.71,42.55,19.75,211.65,190.14,0,0.00196,0.09265,14.72,39553.85,93417.47,405.05
"9",1969-12-31 19:00:00,2685.88,234.21,43.11,20.09,215.78,191.99,0,0.001988,0.09487,19.81,51263.31,49962.83,218.09
"10",1969-12-31 19:00:00,2690.03,231.65,43.31,20.06,216.06,190.62,0,0.001991,0.09386,27.55,74608.74,22373.73,97.41
"11",1969-12-31 19:00:00,2620.1,223.87,42.34,19.44,211.44,183.59,0,0.001939,0.09218,17.16,44694.51,101274.28,444.92
"12",1969-12-31 19:00:00,2568.6,217.42,40.89,19.06,202.74,178.9,0,0.001901,0.08916,33.22,85990.8,251942.62,1139.87
"13",1969-12-31 19:00:00,2614.34,221.98,41.57,19.43,208.44,182.59,0,0.001908,0.09106,32.94,86118.24,107548.32,492.38
"14",1969-12-31 19:00:00,2627.51,221.31,41.75,19.66,210.07,184.14,0,0.001892,0.09257,23.45,60643.84,47988.76,218.33
"15",1969-12-31 19:00:00,2669.48,217.46,42.58,19.92,215.45,186.84,0,0.001922,0.09362,12.82,34518.03,128907.86,589.11
"16",1969-12-31 19:00:00,2667.08,220.13,42.41,19.91,215.23,187.26,0,0.001947,0.09252,4.67,12561.2,39537.86,181.15
"17",1969-12-31 19:00:00,2589.34,206.06,41.09,19.04,206.99,180.81,0,0.00189,0.08954,33.82,87587.08,391375.69,1842.24
"18",1969-12-31 19:00:00,2575.41,207.45,40.85,19.02,205.88,178.42,0,0.001854,0.08792,4.7,12345.68,169297.23,830.4
"19",1969-12-31 19:00:00,2539.15,207.93,40.45,18.75,201.1,174.97,0,0.001828,0.08669,8.63,21834.19,11445.68,56.08
"20",1969-12-31 19:00:00,2561.5,200,40.45,18.86,202.26,176.41,0,0.001844,0.08699,54.65,138495.57,133878.68,666.89
"21",1969-12-31 19:00:00,2487.71,195.63,39.08,18.24,195.21,171.4,0,0.001741,0.08237,42.22,105826.59,105367.04,535.53
"22",1969-12-31 19:00:00,2473.05,186.27,39.17,17.97,192.21,167.65,0,0.001682,0.08119,95.55,238402.04,218302.43,1147.76
"23",1969-12-31 19:00:00,2446.54,185.64,39.22,17.48,190.29,162.94,0,0.001664,0.07672,310.29,768012.99,418276.36,2217.29
"24",1969-12-31 19:00:00,2401.26,179.41,37.68,17.11,188.02,156.59,0,0.001657,0.07511,79.06,192397,384939.54,2144.35
"25",1969-12-31 19:00:00,2480.95,197.78,38.83,18.21,196.09,164.61,0,0.001712,0.08167,48.8,118219.29,574738.49,3002.2
"26",1969-12-31 19:00:00,2467.29,188.75,38.47,17.61,195.06,163.48,0,0.001678,0.08071,22.54,54751.85,350499.97,1860.5
"27",1969-12-31 19:00:00,2427.46,194.05,38.33,17.47,191.02,164.29,0,0.001675,0.07843,26.9,65781.34,170381.63,877.4
